"ID","Question1","Question2","Question3","Question4","Question5"
"CAR-123","N","Y","Y","Y","Y"
"CAR-720","Y","N","N","N","N"
"CAR-764","Y","Y","N","Y","Y"
"CAR-923","N","Y","Y","Y","Y"
"CAR-570","N","N","N","N","N"
"CAR-766","Y","Y","N","N","N"
"CAR-774","N","N","N","N","Y"
"CAR-206","N","Y","Y","Y","N"
"CAR-171","N","Y","Y","N","Y"
"CAR-707","N","N","N","Y","N"
"CAR-418","N","N","N","N","N"
"CAR-194","N","N","N","N","N"
"CAR-471","Y","N","Y","Y","N"
"CAR-537","N","Y","N","Y","N"
"CAR-560","N","N","N","Y","Y"
"CAR-499","Y","Y","N","Y","Y"
"CAR-992","Y","N","N","N","Y"
"CAR-488","Y","N","N","N","N"
"CAR-915","Y","N","N","Y","N"
"CAR-842","Y","N","N","N","Y"
"CAR-837","N","Y","Y","N","N"
"CAR-412","Y","N","N","Y","Y"
"CAR-606","Y","Y","Y","Y","N"
"CAR-289","Y","Y","Y","N","Y"
"CAR-980","Y","N","Y","Y","Y"
"CAR-163","N","Y","Y","N","Y"
"CAR-500","Y","N","N","N","Y"
"CAR-334","Y","N","N","Y","Y"
"CAR-771","N","Y","N","Y","N"
"CAR-528","N","N","N","N","N"
"CAR-807","N","N","Y","N","Y"
"CAR-883","Y","N","N","N","Y"
"CAR-831","N","N","N","N","Y"
"CAR-701","Y","Y","N","Y","Y"
"CAR-475","Y","N","N","N","Y"
"CAR-858","Y","N","N","Y","N"
"CAR-491","Y","N","Y","Y","Y"
"CAR-374","N","N","N","Y","Y"
"CAR-910","Y","N","Y","Y","Y"
"CAR-530","Y","Y","Y","Y","Y"
"CAR-200","N","Y","Y","Y","N"
"CAR-183","N","N","N","N","N"
"CAR-760","N","Y","N","Y","N"
"CAR-179","N","N","N","Y","N"
"CAR-795","Y","Y","N","N","N"
"CAR-345","Y","N","N","Y","Y"
"CAR-151","Y","Y","N","N","Y"
"CAR-885","N","N","N","Y","N"
"CAR-459","Y","N","Y","Y","Y"
"CAR-991","Y","N","Y","N","Y"
"CAR-898","Y","N","N","Y","N"
"CAR-329","N","N","Y","N","Y"
"CAR-569","N","Y","N","N","N"
"CAR-698","Y","Y","N","N","N"
"CAR-990","N","N","N","Y","Y"
"CAR-416","N","N","Y","Y","Y"
"CAR-311","N","Y","Y","Y","Y"
"CAR-149","Y","N","Y","Y","N"
"CAR-411","N","N","N","Y","N"
"CAR-736","Y","N","N","N","N"
"CAR-733","N","N","Y","Y","Y"
"CAR-443","Y","N","Y","N","N"
"CAR-622","N","Y","Y","Y","N"
"CAR-444","Y","Y","N","N","N"
"CAR-711","N","Y","N","Y","Y"
"CAR-257","Y","Y","N","N","N"
"CAR-417","Y","N","N","Y","N"
"CAR-186","Y","N","N","N","Y"
"CAR-386","Y","N","Y","Y","Y"
"CAR-317","Y","Y","Y","N","Y"
"CAR-265","N","Y","N","Y","N"
"CAR-184","N","N","N","N","N"
"CAR-664","Y","Y","N","N","N"
"CAR-425","Y","N","Y","Y","Y"
"CAR-821","N","Y","N","Y","Y"
"CAR-559","Y","N","N","N","N"
"CAR-952","N","N","Y","Y","N"
"CAR-882","Y","N","Y","N","N"
"CAR-790","N","Y","Y","Y","N"
"CAR-387","N","Y","Y","N","N"
"CAR-524","Y","Y","Y","Y","N"
"CAR-378","Y","N","Y","N","N"
"CAR-384","N","Y","Y","N","N"
"CAR-176","N","Y","N","Y","N"
"CAR-704","Y","N","Y","Y","N"
"CAR-914","N","N","Y","Y","N"
"CAR-989","N","Y","N","Y","Y"
"CAR-168","Y","N","N","Y","N"
"CAR-291","Y","Y","N","N","Y"
"CAR-360","Y","N","Y","N","Y"
"CAR-814","Y","Y","Y","Y","N"
"CAR-193","N","Y","Y","Y","N"
"CAR-697","N","N","Y","N","Y"
"CAR-871","N","N","N","N","Y"
"CAR-996","N","N","Y","N","Y"
"CAR-372","N","N","Y","Y","Y"
"CAR-441","N","N","Y","N","Y"
"CAR-867","Y","N","N","N","N"
"CAR-585","Y","N","N","N","N"
"CAR-746","N","Y","Y","Y","Y"
"CAR-132","Y","Y","N","N","N"
"CAR-902","N","Y","N","Y","Y"
"CAR-309","N","Y","Y","Y","N"
"CAR-552","Y","N","N","Y","Y"
"CAR-301","Y","N","N","N","N"
"CAR-787","N","Y","Y","N","Y"
"CAR-522","N","Y","Y","N","Y"
"CAR-908","Y","Y","N","N","Y"
"CAR-709","Y","N","N","Y","Y"
"CAR-734","Y","N","Y","Y","Y"
"CAR-182","Y","N","N","N","N"
"CAR-793","Y","Y","N","Y","Y"
"CAR-367","N","N","N","N","Y"
"CAR-782","Y","N","Y","Y","N"
"CAR-296","Y","N","Y","N","N"
"CAR-568","Y","N","Y","Y","Y"
"CAR-517","N","Y","Y","Y","Y"
"CAR-147","Y","Y","Y","Y","Y"
"CAR-508","N","Y","Y","N","N"
"CAR-428","Y","N","N","N","N"
"CAR-230","Y","Y","Y","N","Y"
"CAR-645","Y","Y","Y","Y","Y"
"CAR-203","Y","Y","Y","Y","Y"
"CAR-588","N","N","N","Y","Y"
"CAR-498","N","N","Y","N","N"
"CAR-631","N","Y","N","Y","Y"
"CAR-749","Y","N","N","Y","N"
"CAR-662","Y","Y","Y","N","Y"
"CAR-325","Y","N","N","N","Y"
"CAR-717","Y","N","Y","N","Y"
"CAR-830","N","N","N","N","N"
"CAR-896","Y","N","Y","Y","Y"
"CAR-427","Y","N","Y","N","N"
"CAR-753","N","Y","N","Y","N"
"CAR-232","N","Y","N","N","N"
"CAR-539","Y","N","Y","Y","Y"
"CAR-315","Y","Y","Y","N","N"
"CAR-140","Y","N","Y","Y","Y"
"CAR-474","Y","N","N","N","N"
"CAR-652","N","Y","N","Y","Y"
"CAR-964","N","Y","Y","N","Y"
"CAR-470","Y","Y","Y","Y","N"
"CAR-967","Y","N","Y","Y","N"
"CAR-744","Y","Y","N","N","N"
"CAR-595","Y","N","N","Y","Y"
"CAR-846","Y","Y","Y","N","Y"
"CAR-376","Y","Y","Y","Y","N"
"CAR-637","N","Y","N","N","Y"
"CAR-786","Y","Y","Y","Y","N"
"CAR-355","Y","Y","Y","N","N"
"CAR-686","N","Y","Y","Y","N"
"CAR-373","N","N","N","N","Y"
"CAR-406","Y","N","Y","Y","N"
"CAR-332","N","Y","N","Y","Y"
"CAR-302","N","N","N","N","N"
"CAR-934","N","N","N","Y","N"
"CAR-741","N","N","N","Y","N"
"CAR-241","Y","Y","N","N","N"
"CAR-598","N","N","Y","N","N"
"CAR-562","N","Y","Y","N","Y"
"CAR-928","Y","Y","Y","N","N"
"CAR-828","N","Y","N","N","N"
"CAR-483","Y","Y","N","Y","N"
"CAR-462","Y","Y","N","Y","N"
"CAR-802","Y","Y","Y","N","N"
"CAR-188","N","N","Y","Y","N"
"CAR-449","N","N","N","N","Y"
"CAR-359","Y","N","Y","Y","N"
"CAR-545","N","Y","N","Y","N"
"CAR-187","Y","Y","N","N","Y"
"CAR-245","N","N","Y","Y","Y"
"CAR-889","Y","Y","Y","Y","Y"
"CAR-354","Y","Y","Y","Y","Y"
"CAR-424","N","Y","Y","N","Y"
"CAR-985","N","N","N","Y","Y"
"CAR-207","N","Y","Y","Y","Y"
"CAR-847","Y","N","Y","N","Y"
"CAR-958","N","N","N","Y","N"
"CAR-752","Y","Y","N","Y","N"
"CAR-660","N","N","Y","Y","Y"
"CAR-596","Y","N","N","N","Y"
"CAR-859","N","N","N","Y","Y"
"CAR-699","Y","Y","Y","Y","Y"
"CAR-124","N","N","Y","N","Y"
"CAR-969","N","Y","Y","N","Y"
"CAR-379","N","N","N","Y","N"
"CAR-181","N","Y","Y","Y","N"
"CAR-678","Y","Y","N","Y","Y"
"CAR-144","Y","Y","Y","N","Y"
"CAR-269","N","N","N","N","N"
"CAR-609","Y","Y","Y","Y","N"
"CAR-295","N","N","N","Y","N"
"CAR-767","Y","Y","Y","Y","Y"
"CAR-478","Y","N","Y","N","N"
"CAR-137","N","N","N","Y","N"
"CAR-139","N","Y","N","Y","Y"
"CAR-523","Y","Y","N","N","Y"
"CAR-231","Y","N","N","Y","Y"
"CAR-706","N","N","N","Y","Y"
"CAR-326","Y","Y","N","N","Y"
